satellite,day,age_group,marital_status,leader,start_time,end_time
Imus,Monday,Gen Z,Young Adult,Ptr. Joaquin Reyes,2:00 PM,3:30 PM
Imus,Thursday,Gen Z,Young Adult,Ate Maria Santos,6:30 PM,8:00 PM
Imus,Tuesday,Millennials,Young Adult,Kuya Marco Dela Cruz,3:00 PM,4:30 PM
Imus,Friday,Millennials,Young Adult,Ate Hannah Gonzales,7:00 PM,8:30 PM
Imus,Wednesday,Millennials,Married,Kuya Paulo Mendoza,4:00 PM,5:30 PM
Imus,Saturday,Millennials,Married,Ate Grace Villanueva,7:30 PM,9:00 PM
Imus,Thursday,Gen X,Solo Parent,Kuya Daniel Aquino,5:00 PM,6:30 PM
Imus,Sunday,Gen X,Solo Parent,Ate Joy Ramirez,8:00 PM,9:30 PM
Imus,Friday,Gen X,Single,Ptr. Samuel Cruz,2:00 PM,3:30 PM
Imus,Monday,Gen X,Single,Ate Rachel Bautista,6:30 PM,8:00 PM
Imus,Saturday,Gen X,Married,Kuya Mark Tan,3:00 PM,4:30 PM
Imus,Tuesday,Gen X,Married,Ate Faith Lopez,7:00 PM,8:30 PM
Imus,Sunday,Gen X,Widowed,Kuya Nathan Garcia,4:00 PM,5:30 PM
Imus,Wednesday,Gen X,Widowed,Ate Sarah Domingo,7:30 PM,9:00 PM
Imus,Monday,Baby Boomer,Single,Ptr. Caleb Pascual,5:00 PM,6:30 PM
Imus,Thursday,Baby Boomer,Single,Ate Esther Navarro,8:00 PM,9:30 PM
Imus,Tuesday,Baby Boomer,Married,Kuya Andrew Reyes,2:00 PM,3:30 PM
Imus,Friday,Baby Boomer,Married,Ate Joanna Lim,6:30 PM,8:00 PM
Imus,Wednesday,Baby Boomer,Widowed,Kuya Stephen Cruz,3:00 PM,4:30 PM
Imus,Saturday,Baby Boomer,Widowed,Ate Patricia Manalo,7:00 PM,8:30 PM
Imus,Saturday,Millennials,Married,Kuya James Aquino,4:00 PM,5:30 PM
Imus,Friday,Millennials,Married,Ate Anna Sy,7:30 PM,9:00 PM
Imus,Wednesday,Millennials,Young Adult,Kuya Lance De Guzman,7:00 PM,8:30 PM
Imus,Saturday,Millennials,Young Adult,Ate Bianca Cruz,3:00 PM,4:30 PM
Imus,Sunday,Gen X,Married,Ptr. Robert Salazar,4:00 PM,5:30 PM
Imus,Thursday,Gen X,Married,Ate Cecilia Tan,7:30 PM,9:00 PM
Imus,Friday,Gen Z,Young Adult,Kuya Mike Reyes,4:00 PM,5:30 PM
Imus,Sunday,Gen Z,Young Adult,Ate Sophia Lim,6:30 PM,8:00 PM
Imus,Wednesday,Millennials,Married,Ate Crystal Reyes,7:00 PM,8:30 PM
Imus,Monday,Millennials,Married,Kuya Joshua Lim,6:30 PM,8:00 PM
Imus,Tuesday,Millennials,Married,Ate Karen Cruz,4:00 PM,5:30 PM
Imus,Thursday,Millennials,Married,Kuya Brian Aquino,7:30 PM,9:00 PM
Imus,Sunday,Millennials,Married,Ate Michelle Tan,6:30 PM,8:00 PM
